"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"Step"
"ES";0;0;0;0;0;0;0;0;0;0;83,5812485810958;93,1290654626283;69,9648702958635;80,5877646831117;82,7244554736858;73,2380564926997;0;82,9648570433875;0;0;0;83,8758535496149;0;0;69,4731738159274;0;67,3601039996902;70,5992872802489;49,7503485767949;71,1272461172596;0;45,7189631332085;15,9893581287968;37,6080260136998;5,53441227379609;"NoStep"
"ET";0;0;22,2025191128687;25,2964675652804;0;41,3895238155264;83,6666578638447;0;70,4261567140875;76,6454376396899;88,6924220381167;0;0;0;0;0;73,2380564926997;0;0;0;0;0;83,8758535496149;80,5979078473323;0;0;65,8980191845683;67,3601039996902;0;49,7503485767949;0;0;0;0;0;"NoStep"
"FI";0;5,53441227379609;42,8591467826574;22,2025191128687;25,2964675652804;0;0;0;0;0;0;0;83,5812485810958;0;0;0;0;0;0;0;73,1346508334545;0;0;0;80,5979078473323;0;0;65,8980191845683;0;0;0;0;0;0;0;"NoStep"
"FJ";0;0;0;42,8591467826574;0;25,2964675652804;0;0;0;67,9471264082529;0;0;0;0;0;0;0;82,7244554736858;0;0;0;0;0;0;0;80,5979078473323;76,3290968866532;0;0;0;0;0;0;0;0;"NoStep"
"FK";0;0;0;0;0;0;0;0;0;0;0;0;76,6454376396899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"FL";60,8659599362863;0;0;0;0;42,8591467826574;0;0;0;41,3895238155264;0;0;0;0;88,6924220381167;0;0;0;0;0;0;0;82,9648570433875;73,1346508334545;78,6001259439122;0;0;80,5979078473323;0;0;0;0;0;49,7503485767949;0;"NoStep"
"FM";0;0;0;0;0;0;0;0;0;0;0;0;67,9471264082529;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"FO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83,5812485810958;0;0;0;0;73,2380564926997;79,4621746234747;0;0;78,6001259439122;0;83,8758535496149;0;0;69,4731738159274;65,8980191845683;67,3601039996902;0;"NoStep"
"FR";0;0;0;0;45,7189631332085;0;0;0;0;0;25,2964675652804;0;41,3895238155264;83,6666578638447;0;70,4261567140875;0;0;0;0;0;80,5877646831117;0;0;79,4621746234747;0;73,1346508334545;0;0;83,8758535496149;80,5979078473323;76,3290968866532;0;65,8980191845683;67,3601039996902;"NoStep"
"GA";0;0;49,7503485767949;71,1272461172596;60,8659599362863;0;15,9893581287968;0;0;0;22,2025191128687;25,2964675652804;0;41,3895238155264;83,6666578638447;67,9471264082529;0;0;88,6924220381167;83,5812485810958;0;69,9648702958635;0;82,7244554736858;73,2380564926997;0;0;0;0;0;0;0;76,3290968866532;69,4731738159274;65,8980191845683;"NoStep"
"GB";0;67,3601039996902;70,5992872802489;49,7503485767949;71,1272461172596;60,8659599362863;45,7189631332085;0;0;0;42,8591467826574;22,2025191128687;25,2964675652804;0;0;83,6666578638447;0;0;0;0;0;0;0;0;82,7244554736858;0;79,4621746234747;0;0;0;100;83,8758535496149;80,5979078473323;76,3290968866532;69,4731738159274;"NoStep"
"GD";0;0;67,3601039996902;70,5992872802489;0;0;0;0;0;37,6080260136998;0;42,8591467826574;22,2025191128687;0;0;41,3895238155264;0;67,9471264082529;0;0;0;0;0;0;0;0;0;0;0;73,1346508334545;0;100;0;0;0;"NoStep"
"GE";0;0;0;67,3601039996902;0;49,7503485767949;71,1272461172596;60,8659599362863;0;0;0;0;42,8591467826574;0;25,2964675652804;0;0;83,6666578638447;67,9471264082529;70,4261567140875;76,6454376396899;0;0;0;69,9648702958635;80,5877646831117;0;0;0;0;0;0;0;0;0;"NoStep"
"GF";0;0;0;0;0;70,5992872802489;49,7503485767949;0;0;0;15,9893581287968;0;0;0;22,2025191128687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"GG";0;0;0;0;0;0;0;0;0;0;0;0;37,6080260136998;0;0;0;0;0;0;0;0;0;0;0;83,5812485810958;93,1290654626283;0;0;0;0;0;0;73,1346508334545;0;0;"NoStep"
"GH";0;0;80,5979078473323;76,3290968866532;0;0;67,3601039996902;0;0;0;60,8659599362863;0;0;37,6080260136998;0;42,8591467826574;0;0;0;0;0;0;0;76,6454376396899;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"GI";0;0;0;0;0;69,4731738159274;65,8980191845683;0;0;0;0;60,8659599362863;0;0;0;0;0;0;0;0;0;0;0;0;76,6454376396899;0;83,5812485810958;0;0;0;0;0;79,4621746234747;82,9648570433875;0;"NoStep"
"GL";73,1346508334545;0;100;83,8758535496149;0;76,3290968866532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70,4261567140875;0;0;0;0;0;0;0;0;0;0;"NoStep"
"GM";0;0;0;0;0;80,5979078473323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"GN";0;0;0;0;0;83,8758535496149;0;0;0;0;0;0;0;0;0;45,7189631332085;0;0;0;0;0;0;0;41,3895238155264;0;0;0;0;0;83,5812485810958;0;0;80,5877646831117;0;0;"NoStep"
"GP";0;0;82,9648570433875;0;0;0;0;0;0;0;0;0;70,5992872802489;0;71,1272461172596;60,8659599362863;0;0;0;0;0;0;0;0;0;0;67,9471264082529;0;0;0;0;93,1290654626283;0;0;0;"NoStep"
"GQ";0;0;79,4621746234747;0;73,1346508334545;78,6001259439122;100;0;0;76,3290968866532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"GR";0;0;0;0;82,9648570433875;0;0;0;0;0;76,3290968866532;69,4731738159274;65,8980191845683;0;70,5992872802489;49,7503485767949;0;60,8659599362863;0;0;0;0;0;22,2025191128687;25,2964675652804;0;41,3895238155264;0;67,9471264082529;70,4261567140875;0;0;83,5812485810958;93,1290654626283;69,9648702958635;"NoStep"
"GT";0;80,5877646831117;82,7244554736858;0;0;0;73,1346508334545;0;0;0;0;0;69,4731738159274;0;0;70,5992872802489;49,7503485767949;71,1272461172596;60,8659599362863;0;0;0;0;0;22,2025191128687;0;0;0;83,6666578638447;0;70,4261567140875;0;88,6924220381167;83,5812485810958;0;"NoStep"
"GU";0;0;0;0;0;0;0;0;0;0;0;0;76,3290968866532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"GY";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67,9471264082529;0;0;88,6924220381167;"NoStep"
"HA";0;0;0;0;0;82,7244554736858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"HK";76,6454376396899;88,6924220381167;83,5812485810958;93,1290654626283;69,9648702958635;0;0;73,2380564926997;79,4621746234747;0;73,1346508334545;0;100;83,8758535496149;80,5979078473323;76,3290968866532;0;0;0;0;49,7503485767949;0;0;0;0;0;0;0;0;0;0;0;83,6666578638447;67,9471264082529;0;"NoStep"
