"";"10";"10.5";"11";"12";"13";"14";"15";"16";"17";"18.1";"19";"20.1";"20.2";"20.3";"20.4";"20.42";"20.5";"20.51";"20.6";"21";"22";"22.1";"22.2";"23";"23.1";"23.3";"23.42";"23.5";"24";"24.46";"25.1";"25.2";"25.3";"25.4";"25.5";"25.6";"25.7";"25.9";"25.94";"26.1";"26.11";"26.2";"26.3";"26.4";"26.5";"26.51";"26.52";"26.6";"26.7";"26.8";"27.1";"27.12";"27.2";"27.3";"27.33";"27.4";"27.5";"27.9";"28.1";"28.11";"28.14";"28.21";"28.22";"28.23";"28.25";"28.29";"28.3";"28.4";"28.9";"28.92";"28.94";"28.95";"28.99";"29.1";"29.3";"30";"31";"32";"32.5";"32.9";"42.2";"42.91";"43";"62";"Step"
"PC";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,0652807740618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"PE";0;0;0;0;0;0;0;0;0;89,0165071585252;0;0;0;0;94,9159267746745;92,2345974790314;0;0;0;0;61,6720652316092;0;89,7075852773056;92,1348284611142;93,3603311895145;0;97,3794586949259;0;90,4437609180866;0;0;0;0;0;0;87,3463545371413;39,6862367457274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91,5195922019957;0;0;0;0;0;0;0;93,3603311895145;0;0;0;90,4437609180866;0;90,2144360203717;85,5147227925304;0;76,7990779749655;84,2247650917811;87,3463545371413;39,6862367457274;99,6906773309325;0;0;89,138798703532;0;"NoStep"
"PH";96,8382461032701;0;0;96,5025933534757;0;0;0;0;91,756255779165;0;84,5122884130177;0;94,7866266168884;0;94,8210154757221;0;0;0;0;91,5941775006565;0;0;0;0;0;94,6523128920065;0;0;0;0;0;0;0;73,8183331027778;0;0;0;0;0;0;0;0;0;0;0;0;0;96,7006142727394;0;0;91,756255779165;0;0;0;0;94,8169706874836;94,8210154757221;0;62,8143779044722;0;0;0;0;0;0;0;93,9295174535881;0;0;0;97,0532105582388;0;99,5782882367908;77,173648701325;0;0;98,0221011885635;88,1065313708049;0;0;0;97,6755674426446;0;0;"NoStep"
"PK";0;0;87,2072693635037;0;0;0;0;0;0;0;0;0;0;98,3076530045727;0;0;0;0;0;92,1145284405234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89,138798703532;0;0;87,2072693635037;0;0;0;0;0;0;0;0;0;0;0;0;94,9159267746745;92,2345974790314;0;0;0;0;61,6720652316092;0;0;0;0;0;0;100;0;0;0;0;0;0;0;87,3463545371413;0;0;0;0;0;"NoStep"
"PL";95,0638315293235;96,8382461032701;98,0652807740618;0;96,5025933534757;0;0;0;0;0;86,0581109053235;84,5122884130177;0;0;94,8169706874836;0;99,1171482000487;62,8143779044722;0;0;0;0;0;0;97,2981776469378;93,9295174535881;0;0;97,0314297710169;0;80,0311539161116;0;0;83,3172359514513;0;98,0221011885635;0;87,1143965706247;0;0;0;0;0;96,8382461032701;98,0652807740618;90,2329721179423;0;0;0;0;96,0374884258544;91,756255779165;0;0;81,3793483001282;94,7866266168884;0;94,8210154757221;99,1171482000487;0;0;94,2727267898626;91,5941775006565;0;0;98,1409664912108;97,2981776469378;93,9295174535881;94,6523128920065;0;97,0314297710169;0;80,0311539161116;0;0;83,3172359514513;0;0;0;0;4,7360089333445;42,8447916169829;97,6755674426446;0;"NoStep"
"PR";0;0;0;0;0;0;84,039649558358;0;0;0;0;0;0;0;0;0;0;0;0;0;92,1145284405234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96,807230483577;0;0;0;0;0;0;0;0;0;96,4129577508372;0;0;0;94,9159267746745;0;0;0;0;0;0;0;0;0;93,3603311895145;0;0;0;0;94,770705343471;0;0;86,7941624844625;0;0;0;39,6862367457274;0;0;0;"NoStep"
"PT";0;0;96,8382461032701;0;0;0;0;0;0;0;0;86,0581109053235;0;81,3793483001282;0;94,8169706874836;0;99,1171482000487;0;95,9334685800221;0;0;0;0;98,1409664912108;97,2981776469378;93,9295174535881;0;0;0;0;80,0311539161116;0;0;0;73,8183331027778;98,0221011885635;88,1065313708049;0;0;0;0;0;0;0;0;0;96,5025933534757;0;0;0;0;0;0;0;81,3793483001282;94,7866266168884;0;94,8210154757221;0;62,8143779044722;95,9334685800221;0;0;0;0;98,1409664912108;0;93,9295174535881;94,6523128920065;0;0;0;80,0311539161116;0;77,173648701325;83,3172359514513;73,8183331027778;98,0221011885635;88,1065313708049;0;0;0;0;"NoStep"
"PY";0;0;0;96,807230483577;0;0;0;0;0;89,8734025026789;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80,8758643442477;0;0;0;95,3617527577285;0;0;0;0;0;0;0;0;0;93,0915176372966;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90,4437609180866;0;0;0;0;76,7990779749655;84,2247650917811;0;0;0;0;"NoStep"
"QA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99,5782882367908;0;0;0;0;0;0;0;0;"NoStep"
"RH";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96,6340202045146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,3076530045727;0;0;0;0;0;0;0;0;0;89,7075852773056;0;0;0;0;0;0;0;0;0;0;0;0;0;39,6862367457274;0;"NoStep"
"RO";42,8447916169829;97,6755674426446;88,3846370098815;0;96,8382461032701;0;90,2329721179423;96,5025933534757;84,8344119948118;0;84,6167753583111;96,0374884258544;0;86,0581109053235;84,5122884130177;81,3793483001282;94,7866266168884;94,8169706874836;94,8210154757221;99,1171482000487;0;95,9334685800221;0;0;92,2096745880417;91,0030847960647;0;97,2981776469378;93,9295174535881;94,6523128920065;0;0;0;80,0311539161116;99,5782882367908;77,173648701325;0;0;0;0;0;0;0;0;88,3846370098815;95,0638315293235;0;0;0;0;84,8344119948118;0;0;0;0;0;0;81,3793483001282;94,7866266168884;0;0;0;0;0;0;0;92,2096745880417;91,0030847960647;98,1409664912108;97,2981776469378;93,9295174535881;94,6523128920065;0;0;0;0;0;0;83,3172359514513;0;0;88,1065313708049;87,1143965706247;0;"NoStep"
"RU";0;0;91,3160001549941;0;0;0;0;0;0;0;91,0038785895696;89,8734025026789;0;0;0;0;96,6564963652962;98,3076530045727;0;94,9159267746745;0;0;0;0;98,0609167043271;0;0;89,7075852773056;92,1348284611142;0;92,3758363081786;97,3794586949259;0;90,4437609180866;94,770705343471;0;0;0;0;0;0;0;0;0;0;89,138798703532;0;96,807230483577;0;0;95,3617527577285;0;91,0038785895696;0;0;0;0;96,4129577508372;96,6564963652962;0;0;94,9159267746745;0;0;0;92,1145284405234;0;61,6720652316092;96,6340202045146;89,7075852773056;92,1348284611142;0;92,3758363081786;0;0;90,4437609180866;0;0;85,5147227925304;0;0;0;0;0;"NoStep"
"SA";0;0;0;0;0;96,8382461032701;0;0;0;0;96,7006142727394;84,6167753583111;0;0;86,0581109053235;0;81,3793483001282;94,7866266168884;0;0;0;0;0;0;91,5941775006565;0;0;0;0;0;0;0;0;97,0532105582388;0;99,5782882367908;0;0;0;0;0;0;0;42,8447916169829;97,6755674426446;88,3846370098815;0;0;0;0;0;0;0;0;0;0;86,0581109053235;84,5122884130177;81,3793483001282;94,7866266168884;0;0;99,1171482000487;0;95,9334685800221;0;0;92,2096745880417;91,0030847960647;98,1409664912108;0;0;0;0;0;97,0532105582388;80,0311539161116;99,5782882367908;77,173648701325;0;0;98,0221011885635;88,1065313708049;0;"NoStep"
"SC";0;0;0;91,3160001549941;0;80,8758643442477;0;0;0;0;0;91,0038785895696;0;0;0;0;96,4129577508372;96,6564963652962;0;93,0915176372966;94,9159267746745;0;91,5195922019957;0;0;0;0;0;0;0;0;0;0;100;0;0;90,2144360203717;0;0;0;0;0;39,6862367457274;99,6906773309325;0;91,3160001549941;89,138798703532;0;0;0;0;0;0;0;0;0;0;89,0165071585252;96,4129577508372;0;0;0;0;0;0;0;0;0;61,6720652316092;0;89,7075852773056;0;0;0;97,3794586949259;100;0;94,770705343471;0;0;0;0;0;0;"NoStep"
"SD";0;0;0;0;0;0;0;0;0;0;0;96,7006142727394;0;0;0;0;0;0;0;94,8169706874836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"SE";0;39,6862367457274;0;0;0;89,138798703532;80,8758643442477;96,807230483577;87,2072693635037;0;0;0;0;0;0;0;0;96,4129577508372;0;98,3076530045727;0;0;0;0;0;92,1145284405234;98,0609167043271;0;0;0;92,1348284611142;93,3603311895145;0;97,3794586949259;100;0;94,770705343471;90,2144360203717;85,5147227925304;0;0;0;0;0;99,6906773309325;0;0;89,138798703532;0;0;0;0;0;0;91,0038785895696;89,8734025026789;93,7242940345768;0;89,0165071585252;96,4129577508372;96,6564963652962;98,3076530045727;93,0915176372966;0;92,2345974790314;91,5195922019957;98,616763279004;92,1145284405234;98,0609167043271;61,6720652316092;0;89,7075852773056;92,1348284611142;93,3603311895145;0;97,3794586949259;100;90,4437609180866;94,770705343471;90,2144360203717;85,5147227925304;86,7941624844625;76,7990779749655;0;"NoStep"
"SG";0;0;0;42,8447916169829;0;0;0;0;98,0652807740618;0;0;0;0;0;0;0;0;0;0;0;94,8169706874836;0;99,1171482000487;0;0;0;91,5941775006565;0;0;0;0;0;0;0;97,0314297710169;97,0532105582388;80,0311539161116;99,5782882367908;77,173648701325;83,3172359514513;0;0;0;0;0;0;0;0;95,0638315293235;0;98,0652807740618;90,2329721179423;96,5025933534757;0;96,7006142727394;0;96,0374884258544;0;0;0;0;0;0;0;99,1171482000487;0;95,9334685800221;94,2727267898626;91,5941775006565;92,2096745880417;0;0;0;0;0;0;97,0314297710169;97,0532105582388;80,0311539161116;0;0;0;73,8183331027778;98,0221011885635;"NoStep"
"SI";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96,6564963652962;0;0;0;92,2345974790314;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92,1145284405234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"SK";0;0;0;0;0;0;0;0;0;0;0;96,5025933534757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80,0311539161116;0;0;0;0;0;88,1065313708049;0;4,7360089333445;0;0;0;0;0;0;0;0;0;0;0;0;91,756255779165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97,0314297710169;97,0532105582388;0;0;0;83,3172359514513;0;"NoStep"
"SL";0;0;0;0;0;0;0;0;0;0;0;99,0234607509299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,0609167043271;0;0;0;0;93,3603311895145;92,3758363081786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91,5195922019957;98,616763279004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"SM";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96,0374884258544;0;0;0;0;0;0;94,8210154757221;0;62,8143779044722;95,9334685800221;0;0;0;91,0030847960647;98,1409664912108;0;0;94,6523128920065;0;0;97,0532105582388;0;0;77,173648701325;0;"NoStep"
"SN";0;0;0;0;0;0;0;0;0;0;0;87,2072693635037;99,0234607509299;0;0;0;0;0;0;89,0165071585252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85,5147227925304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96,6564963652962;0;0;94,9159267746745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"SR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94,2727267898626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"ST";0;0;0;0;0;0;99,6906773309325;0;0;0;0;96,807230483577;0;99,0234607509299;0;0;0;89,8734025026789;0;0;0;0;0;0;0;94,9159267746745;0;0;98,616763279004;0;0;61,6720652316092;0;0;0;0;92,3758363081786;0;100;0;0;0;0;0;76,7990779749655;84,2247650917811;0;39,6862367457274;0;0;0;0;0;0;87,2072693635037;0;0;0;91,0038785895696;89,8734025026789;0;0;0;0;0;98,3076530045727;93,0915176372966;94,9159267746745;92,2345974790314;91,5195922019957;0;92,1145284405234;0;61,6720652316092;0;0;0;93,3603311895145;92,3758363081786;0;0;0;94,770705343471;0;"NoStep"
"SU";0;0;73,8183331027778;0;0;0;0;0;97,6755674426446;0;95,0638315293235;96,8382461032701;0;0;0;0;96,7006142727394;84,6167753583111;0;0;0;84,5122884130177;0;0;94,8169706874836;94,8210154757221;0;62,8143779044722;95,9334685800221;94,2727267898626;91,5941775006565;92,2096745880417;0;0;0;0;0;0;0;0;0;0;0;0;73,8183331027778;98,0221011885635;0;87,1143965706247;0;0;97,6755674426446;0;0;0;0;0;0;84,8344119948118;0;0;0;91,756255779165;0;0;0;94,7866266168884;94,8169706874836;94,8210154757221;99,1171482000487;62,8143779044722;95,9334685800221;94,2727267898626;91,5941775006565;0;0;98,1409664912108;0;0;94,6523128920065;0;0;97,0532105582388;0;0;"NoStep"
"SV";90,2144360203717;0;0;0;0;0;0;0;0;0;0;80,8758643442477;96,807230483577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86,7941624844625;76,7990779749655;0;0;0;0;98,8365747829556;0;0;80,8758643442477;0;0;0;0;84,039649558358;0;0;0;0;0;0;0;0;0;0;0;91,5195922019957;0;92,1145284405234;0;0;96,6340202045146;0;92,1348284611142;93,3603311895145;0;0;0;0;0;"NoStep"
"SY";99,5782882367908;0;0;0;0;0;0;0;0;0;0;95,0638315293235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,8447916169829;0;0;0;0;0;0;0;84,8344119948118;0;0;0;0;86,0581109053235;0;0;0;0;0;0;0;0;0;0;92,2096745880417;0;0;0;0;0;0;0;97,0532105582388;0;"NoStep"
"SZ";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89,7075852773056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93,0915176372966;0;0;0;0;92,1145284405234;0;0;0;0;0;0;0;0;0;0;"NoStep"
"TD";0;0;0;0;0;0;0;0;0;0;0;88,3846370098815;95,0638315293235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97,6755674426446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94,8169706874836;0;0;0;0;0;0;92,2096745880417;0;98,1409664912108;0;0;0;0;0;0;"NoStep"
"TH";0;0;0;0;86,7941624844625;0;0;87,3463545371413;0;0;98,8365747829556;0;0;0;96,807230483577;87,2072693635037;99,0234607509299;0;0;91,0038785895696;89,8734025026789;0;0;0;0;0;0;93,0915176372966;0;0;91,5195922019957;0;0;0;0;96,6340202045146;0;0;0;0;0;0;90,4437609180866;0;0;0;0;0;0;0;0;0;0;0;0;0;96,807230483577;0;99,0234607509299;0;0;0;0;0;0;0;96,4129577508372;0;0;0;0;0;0;0;0;0;0;96,6340202045146;89,7075852773056;0;0;0;97,3794586949259;0;"NoStep"
"TN";97,0532105582388;0;0;0;0;0;0;0;0;0;0;97,6755674426446;0;0;0;0;0;0;0;96,7006142727394;84,6167753583111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77,173648701325;0;0;0;0;0;0;0;0;0;0;0;98,0652807740618;90,2329721179423;0;0;0;84,6167753583111;0;0;0;0;0;94,7866266168884;0;0;0;62,8143779044722;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"TP";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"TR";97,0314297710169;0;0;99,5782882367908;0;0;0;0;0;87,1143965706247;0;42,8447916169829;0;88,3846370098815;95,0638315293235;0;0;0;0;0;0;84,6167753583111;0;0;0;0;0;0;0;0;99,1171482000487;62,8143779044722;0;0;0;92,2096745880417;0;0;0;0;0;0;97,0314297710169;0;80,0311539161116;0;77,173648701325;0;0;0;0;0;0;42,8447916169829;97,6755674426446;0;95,0638315293235;96,8382461032701;98,0652807740618;0;0;0;0;0;96,0374884258544;91,756255779165;0;0;81,3793483001282;0;0;0;0;0;0;0;0;0;91,0030847960647;0;97,2981776469378;0;0;0;"NoStep"
"TS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,0609167043271;0;0;0;0;0;0;"NoStep"
"TT";0;0;97,0532105582388;0;0;0;0;0;0;0;0;4,7360089333445;42,8447916169829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94,7866266168884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,0221011885635;0;0;0;0;0;88,3846370098815;0;0;0;0;0;0;0;84,6167753583111;0;91,756255779165;86,0581109053235;84,5122884130177;0;0;0;0;0;0;95,9334685800221;0;0;0;0;0;0;0;0;"NoStep"
"TW";0;0;0;90,4437609180866;0;90,2144360203717;85,5147227925304;0;76,7990779749655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89,0165071585252;0;0;0;93,0915176372966;94,9159267746745;0;91,5195922019957;0;0;98,0609167043271;61,6720652316092;96,6340202045146;0;0;0;0;0;0;0;94,770705343471;0;0;0;0;0;0;0;99,6906773309325;98,8365747829556;91,3160001549941;0;80,8758643442477;96,807230483577;87,2072693635037;0;95,3617527577285;0;0;0;93,7242940345768;92,8537098623267;0;0;0;0;0;94,9159267746745;92,2345974790314;91,5195922019957;98,616763279004;92,1145284405234;98,0609167043271;61,6720652316092;96,6340202045146;0;92,1348284611142;0;"NoStep"
"TZ";0;0;0;0;0;0;0;0;0;0;0;87,1143965706247;4,7360089333445;0;0;0;0;0;0;90,2329721179423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94,6523128920065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81,3793483001282;0;0;94,8210154757221;0;0;0;0;0;0;0;0;0;0;"NoStep"
"UA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92,8537098623267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"UG";0;0;0;0;0;0;0;0;0;0;0;88,1065313708049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97,6755674426446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"UK";92,1348284611142;0;0;97,3794586949259;100;0;0;0;0;0;0;84,2247650917811;0;0;99,6906773309325;98,8365747829556;0;0;0;96,807230483577;87,2072693635037;0;0;84,039649558358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99,6906773309325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,616763279004;0;0;0;0;0;"NoStep"
"US";97,2981776469378;93,9295174535881;0;0;97,0314297710169;97,0532105582388;80,0311539161116;0;77,173648701325;0;73,8183331027778;98,0221011885635;88,1065313708049;0;4,7360089333445;42,8447916169829;97,6755674426446;88,3846370098815;0;96,8382461032701;98,0652807740618;90,2329721179423;0;0;96,7006142727394;0;96,0374884258544;0;0;84,5122884130177;0;94,7866266168884;0;94,8210154757221;0;0;95,9334685800221;94,2727267898626;91,5941775006565;0;91,0030847960647;0;0;93,9295174535881;94,6523128920065;0;0;97,0532105582388;0;0;0;0;0;0;88,1065313708049;87,1143965706247;4,7360089333445;0;97,6755674426446;88,3846370098815;95,0638315293235;0;0;0;0;0;96,7006142727394;0;96,0374884258544;0;0;84,5122884130177;81,3793483001282;0;0;94,8210154757221;99,1171482000487;62,8143779044722;95,9334685800221;94,2727267898626;91,5941775006565;0;0;0;"NoStep"
"UY";89,7075852773056;0;0;0;0;0;0;0;90,2144360203717;0;86,7941624844625;0;0;0;0;0;0;0;0;0;96,807230483577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91,5195922019957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39,6862367457274;0;0;0;0;0;0;0;0;0;0;91,0038785895696;89,8734025026789;0;92,8537098623267;0;0;0;0;93,0915176372966;0;92,2345974790314;91,5195922019957;0;0;0;61,6720652316092;0;"NoStep"
"VA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96,5025933534757;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,8447916169829;0;0;0;0;0;0;0;0;0;84,6167753583111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"VE";0;0;0;93,3603311895145;0;0;100;0;0;0;85,5147227925304;86,7941624844625;0;0;0;0;0;0;0;0;0;0;0;0;0;84,039649558358;91,0038785895696;0;0;0;0;0;0;98,3076530045727;0;0;0;91,5195922019957;98,616763279004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91,3160001549941;0;0;0;87,2072693635037;99,0234607509299;0;0;0;0;0;0;89,0165071585252;0;0;0;0;0;0;0;0;92,1145284405234;98,0609167043271;0;"NoStep"
"VG";0;0;0;0;0;0;0;0;0;0;0;83,3172359514513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94,8210154757221;0;0;0;0;0;0;"NoStep"
"VN";0;0;0;0;0;0;0;0;0;0;0;85,5147227925304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,0609167043271;0;0;89,7075852773056;0;0;0;0;0;0;0;0;0;86,7941624844625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"WS";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91,5941775006565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95,0638315293235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"XA";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96,4129577508372;0;0;0;0;0;0;0;0;"NoStep"
"YE";91,5941775006565;0;0;0;0;0;0;0;0;0;0;0;77,173648701325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"YU";92,1145284405234;0;61,6720652316092;0;0;0;93,3603311895145;0;0;0;0;0;90,2144360203717;0;86,7941624844625;76,7990779749655;0;87,3463545371413;0;99,6906773309325;0;0;0;0;96,807230483577;87,2072693635037;99,0234607509299;95,3617527577285;0;0;0;93,7242940345768;0;0;0;0;0;93,0915176372966;0;0;0;0;0;0;61,6720652316092;0;0;92,1348284611142;0;0;97,3794586949259;0;0;0;90,2144360203717;0;0;76,7990779749655;84,2247650917811;0;0;0;0;0;89,138798703532;80,8758643442477;0;0;0;95,3617527577285;0;0;89,8734025026789;0;0;89,0165071585252;0;96,6564963652962;98,3076530045727;0;0;92,2345974790314;91,5195922019957;0;"NoStep"
"ZA";0;91,5941775006565;92,2096745880417;91,0030847960647;0;97,2981776469378;93,9295174535881;0;0;0;97,0532105582388;80,0311539161116;99,5782882367908;0;0;0;0;88,1065313708049;0;4,7360089333445;0;0;0;0;0;98,0652807740618;90,2329721179423;0;0;96,7006142727394;84,6167753583111;96,0374884258544;0;86,0581109053235;0;0;94,7866266168884;94,8169706874836;94,8210154757221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99,5782882367908;77,173648701325;83,3172359514513;0;98,0221011885635;0;87,1143965706247;0;42,8447916169829;0;0;95,0638315293235;96,8382461032701;0;90,2329721179423;96,5025933534757;0;0;84,6167753583111;0;0;86,0581109053235;84,5122884130177;81,3793483001282;94,7866266168884;94,8169706874836;94,8210154757221;99,1171482000487;62,8143779044722;0;"NoStep"
"ZR";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96,6564963652962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98,8365747829556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
