"ctry_code";"techn_field_nr";"RCA_Gen";"RCA_AI";"Period"
"AD";"1";0;NA;"1974-1988"
"AD";"10";0;NA;"1974-1988"
"AD";"11";0;NA;"1974-1988"
"AD";"12";0;NA;"1974-1988"
"AD";"13";0;NA;"1974-1988"
"AD";"14";0;NA;"1974-1988"
"AD";"15";0;NA;"1974-1988"
"AD";"16";0;NA;"1974-1988"
"AD";"17";0;NA;"1974-1988"
"AD";"18";0;NA;"1974-1988"
"AD";"19";0;NA;"1974-1988"
"AD";"2";0;NA;"1974-1988"
"AD";"20";2,78419811184405;NA;"1974-1988"
"AD";"21";0;NA;"1974-1988"
"AD";"22";0;NA;"1974-1988"
"AD";"23";0;NA;"1974-1988"
"AD";"24";6,71600239861661;NA;"1974-1988"
"AD";"25";0;NA;"1974-1988"
"AD";"26";0;NA;"1974-1988"
"AD";"27";0;NA;"1974-1988"
"AD";"28";8,55852580696756;NA;"1974-1988"
"AD";"29";0;NA;"1974-1988"
"AD";"3";0;NA;"1974-1988"
"AD";"30";0;NA;"1974-1988"
"AD";"31";0;NA;"1974-1988"
"AD";"32";2,59989256889897;NA;"1974-1988"
"AD";"33";4,56579665901894;NA;"1974-1988"
"AD";"34";13,9549825656084;NA;"1974-1988"
"AD";"35";0;NA;"1974-1988"
"AD";"4";0;NA;"1974-1988"
"AD";"5";0;NA;"1974-1988"
"AD";"6";0;NA;"1974-1988"
"AD";"7";0;NA;"1974-1988"
"AD";"8";0;NA;"1974-1988"
"AD";"9";0;NA;"1974-1988"
"AE";"1";0;NA;"1974-1988"
"AE";"10";1,71934311025491;NA;"1974-1988"
"AE";"11";0;NA;"1974-1988"
"AE";"12";4,62332190281628;NA;"1974-1988"
"AE";"13";0;NA;"1974-1988"
"AE";"14";0;NA;"1974-1988"
"AE";"15";0;NA;"1974-1988"
"AE";"16";0;NA;"1974-1988"
"AE";"17";0;NA;"1974-1988"
"AE";"18";0;NA;"1974-1988"
"AE";"19";0;NA;"1974-1988"
"AE";"2";0;NA;"1974-1988"
"AE";"20";0;NA;"1974-1988"
"AE";"21";4,13910876878147;NA;"1974-1988"
"AE";"22";0;NA;"1974-1988"
"AE";"23";0;NA;"1974-1988"
"AE";"24";0;NA;"1974-1988"
"AE";"25";0;NA;"1974-1988"
"AE";"26";0;NA;"1974-1988"
"AE";"27";4,74282408091313;NA;"1974-1988"
"AE";"28";0;NA;"1974-1988"
"AE";"29";0;NA;"1974-1988"
"AE";"3";0;NA;"1974-1988"
"AE";"30";0;NA;"1974-1988"
"AE";"31";0;NA;"1974-1988"
"AE";"32";0;NA;"1974-1988"
"AE";"33";0;NA;"1974-1988"
"AE";"34";0;NA;"1974-1988"
"AE";"35";12,5821357019909;NA;"1974-1988"
"AE";"4";0;NA;"1974-1988"
"AE";"5";0;NA;"1974-1988"
"AE";"6";0;NA;"1974-1988"
"AE";"7";0;NA;"1974-1988"
"AE";"8";0;NA;"1974-1988"
"AE";"9";0;NA;"1974-1988"
"AG";"1";6,40972843331417;NA;"1974-1988"
"AG";"10";0;NA;"1974-1988"
"AG";"11";0;NA;"1974-1988"
"AG";"12";0;NA;"1974-1988"
"AG";"13";0;NA;"1974-1988"
"AG";"14";0;NA;"1974-1988"
"AG";"15";0;NA;"1974-1988"
"AG";"16";0;NA;"1974-1988"
"AG";"17";0;NA;"1974-1988"
"AG";"18";0;NA;"1974-1988"
"AG";"19";0;NA;"1974-1988"
"AG";"2";0;NA;"1974-1988"
"AG";"20";0;NA;"1974-1988"
"AG";"21";0;NA;"1974-1988"
"AG";"22";0;NA;"1974-1988"
"AG";"23";0;NA;"1974-1988"
"AG";"24";0;NA;"1974-1988"
"AG";"25";0;NA;"1974-1988"
"AG";"26";0;NA;"1974-1988"
"AG";"27";0;NA;"1974-1988"
"AG";"28";0;NA;"1974-1988"
"AG";"29";0;NA;"1974-1988"
"AG";"3";0;NA;"1974-1988"
"AG";"30";0;NA;"1974-1988"
"AG";"31";0;NA;"1974-1988"
"AG";"32";12,9994628444948;NA;"1974-1988"
"AG";"33";0;NA;"1974-1988"
"AG";"34";0;NA;"1974-1988"
"AG";"35";0;NA;"1974-1988"
