"";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";"24";"25";"26";"27";"28";"29";"30";"31";"32";"33";"34";"35";"Step"
"BE";0;0;0;100;85,3337809555162;0;0;69,4130835362008;0;0;71,0000907396732;0;72,6902729121832;63,8502443322035;45,7145485696936;16,2150599917471;38,1776099827109;0;42,5686775451903;0;25,7902331199845;0;41,7699916983454;0;67,7800197166568;0;0;88,1710780753892;83,6355499168633;0;0;80,6955840823146;0;0;0;"NoStep"
"BF";0;0;0;0;0;85,3337809555162;79,9758076220341;0;0;0;0;0;50,2848769759505;0;63,8502443322035;45,7145485696936;0;0;0;0;0;0;0;0;83,0452091885008;0;0;0;0;0;0;69,9853933473499;80,6955840823146;0;0;"NoStep"
"BG";0;0;0;73,0760213698492;78,3882776160689;100;0;0;0;0;0;0;0;0;0;63,8502443322035;0;0;0;6,05298821380212;42,5686775451903;20,9948464529971;0;0;41,7699916983454;0;67,7800197166568;0;77,5757873715135;0;0;0;0;0;0;"NoStep"
"BH";0;0;79,4365708166634;82,7103234560092;0;0;100;0;0;0;0;65,966839476221;67,0749954246481;0;0;0;0;0;16,2150599917471;38,1776099827109;6,05298821380212;0;20,9948464529971;0;0;0;83,0452091885008;67,7800197166568;70,1018569273291;0;0;0;92,7131338463795;69,9853933473499;80,6955840823146;"NoStep"
"BI";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63,8502443322035;0;16,2150599917471;0;0;0;0;0;0;41,7699916983454;0;67,7800197166568;0;0;0;0;0;69,9853933473499;"NoStep"
"BJ";69,9853933473499;0;82,8215972727368;0;0;0;73,0760213698492;0;0;85,3337809555162;0;76,2071863208829;0;0;0;71,0000907396732;0;0;63,8502443322035;45,7145485696936;0;0;0;0;20,9948464529971;0;0;0;0;67,7800197166568;0;0;0;83,6355499168633;0;"NoStep"
"BL";0;0;0;0;0;0;0;0;0;0;0;0;76,2071863208829;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70,1018569273291;0;0;0;"NoStep"
"BM";0;92,7131338463795;0;0;0;73,0579170459382;79,4365708166634;82,7103234560092;0;0;0;85,3337809555162;0;76,2071863208829;69,4130835362008;65,966839476221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67,7800197166568;70,1018569273291;77,5757873715135;0;"NoStep"
"BN";88,1710780753892;0;0;0;0;0;73,0579170459382;79,4365708166634;0;73,0760213698492;78,3882776160689;100;0;0;76,2071863208829;0;0;0;71,0000907396732;50,2848769759505;72,6902729121832;0;0;0;38,1776099827109;0;0;0;0;0;0;0;0;0;77,5757873715135;"NoStep"
"BO";77,5757873715135;0;0;0;0;0;82,8215972727368;0;0;0;0;0;100;0;0;76,2071863208829;0;65,966839476221;0;71,0000907396732;50,2848769759505;0;63,8502443322035;45,7145485696936;0;0;0;0;0;0;0;0;83,0452091885008;67,7800197166568;70,1018569273291;"NoStep"
"BQ";70,1018569273291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45,7145485696936;0;0;0;0;0;0;0;0;0;0;"NoStep"
"BR";0;0;0;0;0;0;0;0;0;0;79,4365708166634;82,7103234560092;73,0760213698492;78,3882776160689;100;85,3337809555162;0;76,2071863208829;69,4130835362008;0;0;71,0000907396732;50,2848769759505;0;63,8502443322035;0;16,2150599917471;0;6,05298821380212;0;20,9948464529971;25,7902331199845;0;41,7699916983454;83,0452091885008;"NoStep"
"BS";0;0;0;77,5757873715135;0;83,6355499168633;92,7131338463795;0;0;0;0;79,4365708166634;82,7103234560092;73,0760213698492;0;100;0;0;0;0;0;0;0;0;72,6902729121832;0;0;0;0;0;42,5686775451903;0;25,7902331199845;0;41,7699916983454;"NoStep"
"BT";0;0;0;70,1018569273291;0;0;0;0;0;0;0;0;0;82,7103234560092;0;78,3882776160689;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42,5686775451903;0;0;0;"NoStep"
"BU";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73,0760213698492;0;0;0;0;0;0;0;0;71,0000907396732;0;0;63,8502443322035;0;0;0;0;0;0;0;"NoStep"
"BW";0;0;0;0;0;0;77,5757873715135;0;0;0;0;80,6955840823146;0;73,0579170459382;79,4365708166634;82,7103234560092;0;0;0;0;0;0;69,4130835362008;0;0;0;0;0;63,8502443322035;0;0;0;6,05298821380212;42,5686775451903;0;"NoStep"
"BY";0;0;0;0;83,0452091885008;0;0;0;88,1710780753892;83,6355499168633;92,7131338463795;0;0;0;0;79,4365708166634;82,7103234560092;0;78,3882776160689;100;85,3337809555162;79,9758076220341;76,2071863208829;0;0;0;0;0;72,6902729121832;0;45,7145485696936;16,2150599917471;0;0;42,5686775451903;"NoStep"
"BZ";0;0;0;0;0;83,0452091885008;67,7800197166568;0;0;0;0;92,7131338463795;69,9853933473499;0;0;0;0;0;73,0760213698492;0;0;0;0;0;0;65,966839476221;0;0;50,2848769759505;0;0;0;0;38,1776099827109;6,05298821380212;"NoStep"
"CA";0;42,5686775451903;20,9948464529971;25,7902331199845;0;41,7699916983454;83,0452091885008;0;0;0;88,1710780753892;83,6355499168633;92,7131338463795;0;80,6955840823146;82,8215972727368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45,7145485696936;16,2150599917471;38,1776099827109;"NoStep"
"CD";0;0;0;0;0;0;41,7699916983454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69,4130835362008;0;0;0;0;72,6902729121832;63,8502443322035;0;0;"NoStep"
"CF";0;0;0;0;0;0;0;0;0;0;70,1018569273291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"NoStep"
"CG";0;16,2150599917471;0;0;42,5686775451903;0;25,7902331199845;0;0;0;0;0;0;88,1710780753892;0;92,7131338463795;0;80,6955840823146;0;0;0;0;73,0760213698492;78,3882776160689;0;0;79,9758076220341;0;0;65,966839476221;0;71,0000907396732;50,2848769759505;0;63,8502443322035;"NoStep"
"CH";0;0;0;0;6,05298821380212;0;0;0;0;41,7699916983454;83,0452091885008;0;70,1018569273291;77,5757873715135;88,1710780753892;83,6355499168633;0;0;0;0;0;79,4365708166634;0;0;78,3882776160689;100;85,3337809555162;79,9758076220341;0;0;65,966839476221;0;71,0000907396732;50,2848769759505;0;"NoStep"
"CI";0;0;0;0;0;0;42,5686775451903;0;0;0;0;83,0452091885008;67,7800197166568;70,1018569273291;77,5757873715135;88,1710780753892;0;92,7131338463795;69,9853933473499;80,6955840823146;82,8215972727368;0;79,4365708166634;0;0;0;0;0;0;0;69,4130835362008;0;0;71,0000907396732;50,2848769759505;"NoStep"
"CK";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82,7103234560092;0;0;0;0;0;0;0;0;0;71,0000907396732;"NoStep"
"CL";0;0;0;0;0;0;0;0;0;0;25,7902331199845;0;41,7699916983454;83,0452091885008;67,7800197166568;70,1018569273291;0;88,1710780753892;83,6355499168633;92,7131338463795;69,9853933473499;80,6955840823146;82,8215972727368;73,0579170459382;79,4365708166634;0;0;0;100;85,3337809555162;0;0;0;0;67,0749954246481;"NoStep"
"CM";0;0;50,2848769759505;0;0;0;16,2150599917471;0;0;0;0;0;0;41,7699916983454;83,0452091885008;67,7800197166568;0;77,5757873715135;88,1710780753892;0;0;69,9853933473499;0;0;0;0;0;0;0;0;0;0;0;69,4130835362008;0;"NoStep"
