"";"X1960";"X1961";"X1962";"X1963";"X1964";"X1965";"X1966";"X1967";"X1968";"X1969";"X1970";"X1971";"X1972";"X1973";"X1974";"X1975";"X1976";"X1977";"X1978";"X1979";"X1980";"X1981";"X1982";"X1983";"X1984";"X1985";"X1986";"X1987";"X1988";"X1989";"X1990";"X1991";"X1992";"X1993";"X1994";"X1995";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018"
"21";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-5";"A41D-0";"A41D-3"
"22";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-0";"A41F-2";"A41F-0";"A41F-0";"A41F-0"
"23";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-5";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-0";"A41H-6";"A41H-0";"A41H-0";"A41H-0";"A41H-5";"A41H-0";"A41H-0";"A41H-0";"A41H-2";"A41H-2";"A41H-0"
"24";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-0";"A42B-3"
"25";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-0";"A43B-2";"A43B-0";"A43B-0";"A43B-0";"A43B-8";"A43B-0";"A43B-0"
"26";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-4";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-0";"A43D-8";"A43D-5";"A43D-0"
"27";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-1";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-0";"A44C-4";"A44C-8"
"28";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-0";"A45B-5";"A45B-0"
"29";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-3";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-0";"A45C-1";"A45C-0"
"30";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-1";"A45D-3";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-9";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-0";"A45D-8";"A45D-0";"A45D-0";"A45D-0"
"31";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-0";"A45F-1";"A45F-0"
