"";"X1960";"X1961";"X1962";"X1963";"X1964";"X1965";"X1966";"X1967";"X1968";"X1969";"X1970";"X1971";"X1972";"X1973";"X1974";"X1975";"X1976";"X1977";"X1978";"X1979";"X1980";"X1981";"X1982";"X1983";"X1984";"X1985";"X1986";"X1987";"X1988";"X1989";"X1990";"X1991";"X1992";"X1993";"X1994";"X1995";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018"
"11";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-4";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0";"A22B-0"
"12";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-10";"A23B-0";"A23B-0";"A23B-0";"A23B-0";"A23B-13";"A23B-0";"A23B-0"
"13";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-0";"A23F-9";"A23F-8";"A23F-0";"A23F-1";"A23F-0";"A23F-2"
"14";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-4";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-0";"A23K-6";"A23K-0";"A23K-0"
"15";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-1";"A23L-0";"A23L-0";"A23L-4";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-0";"A23L-15";"A23L-2";"A23L-0";"A23L-0"
"16";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-4";"A23N-0";"A23N-0";"A23N-0";"A23N-0";"A23N-4";"A23N-0"
"17";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-3";"A24B-0";"A24B-0";"A24B-6";"A24B-0";"A24B-1";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-0";"A24B-1";"A24B-2";"A24B-0"
"18";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-0";"A24C-7";"A24C-0"
"19";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-3";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0";"A24D-0"
"20";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-0";"A41D-3"
